support,itemset,GROUP_1,GROUP_2,HealthInsuranceCoverageRecode,HealthInsuranceCoverageRecode_group1,HealthInsuranceCoverageRecode_group2,HealthInsuranceCoverageRecode_div,length,support_count,condition
0.4209,"frozenset({'RelatedChild=no', 'WithADisability=no', 'MaritalStatus=Married'})",12884,21045,0.8790686623901164,0.836230984166408,0.8790686623901164,0.04283767822370843,3,21045.0,True
0.41754,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'RaceEthnicity=White alone', 'Nativity=yes'})",13687,20877,0.8813047851702831,0.8518302038430627,0.8813047851702831,0.02947458132722036,4,20877.0,True
0.41754,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'RaceEthnicity=White alone'})",13687,20877,0.8813047851702831,0.8518302038430627,0.8813047851702831,0.02947458132722036,3,20877.0,True
0.39052,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'WithADisability=no'})",14619,19526,0.8394960565399979,0.8084684314932622,0.8394960565399979,0.03102762504673573,4,19526.0,True
0.37702,"frozenset({'RaceEthnicity=White alone', 'MaritalStatus=Married'})",11273,18851,0.8921542623733489,0.8496407344983589,0.8921542623733489,0.042513527874990076,2,18851.0,True
0.37562,"frozenset({'RelatedChild=no', 'Sex=Man', 'Nativity=yes', 'WithADisability=no'})",13531,18781,0.8742345987966562,0.852117360135984,0.8742345987966562,0.022117238660672167,4,18781.0,True
0.37364,"frozenset({'RelatedChild=no', 'RaceEthnicity=White alone', 'MaritalStatus=Married'})",11168,18682,0.8947114869928273,0.8533309455587392,0.8947114869928273,0.04138054143408809,3,18682.0,True
0.36978,"frozenset({'Sex=Man', 'Nativity=yes', 'RaceEthnicity=White alone', 'WithADisability=no'})",12286,18489,0.8759803126183136,0.8468175158717239,0.8759803126183136,0.029162796746589614,4,18489.0,True
0.3672,"frozenset({'RelatedChild=no', 'Sex=Man', 'Nativity=yes', 'RaceEthnicity=White alone'})",13089,18360,0.8860566448801743,0.8632439452975781,0.8860566448801743,0.02281269958259624,4,18360.0,True
0.36702,"frozenset({'RelatedChild=no', 'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'WithADisability=no'})",13231,18351,0.8757560895863986,0.8539037109817852,0.8757560895863986,0.02185237860461342,4,18351.0,True
0.36702,"frozenset({'RelatedChild=no', 'Sex=Man', 'WithADisability=no', 'Nativity=yes', 'CitizenshipStatus=Born in the U.S.'})",13231,18351,0.8757560895863986,0.8539037109817852,0.8757560895863986,0.02185237860461342,5,18351.0,True
0.3645,frozenset({'MaritalStatus=Never Married'}),8119,18225,0.8184910836762689,0.7075994580613376,0.8184910836762689,0.11089162561493127,1,18225.0,True
0.36366,"frozenset({'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'RaceEthnicity=White alone', 'WithADisability=no'})",12089,18183,0.8776329538579992,0.8487881545206386,0.8776329538579992,0.028844799337360616,4,18183.0,True
0.36366,"frozenset({'Sex=Man', 'RaceEthnicity=White alone', 'Nativity=yes', 'WithADisability=no', 'CitizenshipStatus=Born in the U.S.'})",12089,18183,0.8776329538579992,0.8487881545206386,0.8776329538579992,0.028844799337360616,5,18183.0,True
0.36068,"frozenset({'RelatedChild=no', 'Sex=Man', 'CitizenshipStatus=Born in the U.S.', 'RaceEthnicity=White alone'})",12862,18034,0.8881002550737496,0.8656507541595397,0.8881002550737496,0.02244950091420983,4,18034.0,True
0.36068,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'Nativity=yes', 'CitizenshipStatus=Born in the U.S.'})",12862,18034,0.8881002550737496,0.8656507541595397,0.8881002550737496,0.02244950091420983,5,18034.0,True
0.34332,frozenset({'Sex=Woman'}),4627,17166,0.8930443900734009,0.7845256105467906,0.8930443900734009,0.10851877952661027,1,17166.0,True
0.341,frozenset({'Region=South'}),9466,17050,0.7578299120234604,0.658567504753856,0.7578299120234604,0.09926240726960445,1,17050.0,True
0.3367,"frozenset({'Nativity=yes', 'MaritalStatus=Married'})",9402,16835,0.9291357291357292,0.9031057221867688,0.9291357291357292,0.026030006948960405,2,16835.0,True
0.33302,"frozenset({'RelatedChild=no', 'Nativity=yes', 'MaritalStatus=Married'})",9289,16651,0.9324364903008828,0.907740338034234,0.9324364903008828,0.024696152266648785,3,16651.0,True
0.333,"frozenset({'WithADisability=no', 'RaceEthnicity=White alone', 'MaritalStatus=Married'})",10170,16650,0.8853453453453454,0.8425762045231072,0.8853453453453454,0.04276914082223815,3,16650.0,True
0.3321,"frozenset({'WithADisability=no', 'MaritalStatus=Never Married'})",7390,16605,0.8154170430593195,0.7024357239512855,0.8154170430593195,0.112981319108034,2,16605.0,True
0.33094,"frozenset({'Sex=Man', 'MaritalStatus=Married'})",12103,16547,0.8741161539856167,0.8435098735850616,0.8741161539856167,0.03060628040055513,2,16547.0,True
0.33088,"frozenset({'RelatedChild=no', 'WithADisability=no', 'RaceEthnicity=White alone', 'MaritalStatus=Married'})",10089,16544,0.8879956479690522,0.8461690950540193,0.8879956479690522,0.0418265529150329,4,16544.0,True
0.32856,"frozenset({'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",9170,16428,0.9303019235451668,0.9047982551799346,0.9303019235451668,0.025503668365232213,2,16428.0,True
0.32856,"frozenset({'CitizenshipStatus=Born in the U.S.', 'Nativity=yes', 'MaritalStatus=Married'})",9170,16428,0.9303019235451668,0.9047982551799346,0.9303019235451668,0.025503668365232213,3,16428.0,True
0.32662,"frozenset({'RelatedChild=no', 'Sex=Man', 'MaritalStatus=Married'})",11943,16331,0.8786357234706998,0.8485305199698568,0.8786357234706998,0.030105203500843003,3,16331.0,True
0.32498,"frozenset({'RelatedChild=no', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes', 'MaritalStatus=Married'})",9060,16249,0.933534371345929,0.909271523178808,0.933534371345929,0.024262848167120987,4,16249.0,True
0.32498,"frozenset({'RelatedChild=no', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",9060,16249,0.933534371345929,0.909271523178808,0.933534371345929,0.024262848167120987,3,16249.0,True
0.31976,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'Nativity=yes', 'WithADisability=no'})",11622,15988,0.8797222917187891,0.8575976596110825,0.8797222917187891,0.022124632107706654,5,15988.0,True
